Title: The Combined Ultraviolet, Optical, and Near-Infrared Light Curves of
57984.010  1.481 T80Cam      Prompt5     r       18.29  0.06  0.00 2017ApJ...848L..24V *         
57984.010  1.481 EFOSC2      NTT         V       18.14  0.04  0.00 2017arXiv171005443D *         
57984.011  1.482 T80Cam      T80S        i       17.82  0.03  0.00 2017ApJ...848L..29D *         
57984.012  1.483 EFOSC2      NTT         V       18.16  0.06  0.00 2017arXiv171005443D *         
57984.012  1.483 T80Cam      T80S        i       17.77  0.03  0.00 2017ApJ...848L..29D *         
57984.013  1.484 EFOSC2      NTT         V       18.18  0.04  0.00 2017arXiv171005443D *         
57984.013  1.484 T80Cam      T80S        i       17.87  0.03  0.00 2017ApJ...848L..29D *         
57984.014  1.485 T80Cam      T80S        g       18.68  0.04  0.00 2017ApJ...848L..29D *         
57984.016  1.487 T80Cam      T80S        g       18.67  0.04  0.00 2017ApJ...848L..29D *         
57984.017  1.488 T80Cam      T80S        g       18.57  0.03  0.00 2017ApJ...848L..29D *         
57984.018  1.489 T80Cam      T80S        r       18.03  0.02  0.00 2017ApJ...848L..29D *         
57984.019  1.490 T80Cam      T80S        r       18.05  0.03  0.00 2017ApJ...848L..29D *         
57984.020  1.491 T80Cam      T80S        r       18.04  0.02  0.00 2017ApJ...848L..29D *         
57984.021  1.492 T80Cam      T80S        i       17.83  0.03  0.00 2017ApJ...848L..29D *         
57984.022  1.493 T80Cam      T80S        i       17.90  0.03  0.00 2017ApJ...848L..29D *         
57984.023  1.494 T80Cam      T80S        i       17.88  0.03  0.00 2017ApJ...848L..29D *         
57984.034  1.505 E2V4kx4kccd Swope       B       19.07  0.04  0.00 2017arXiv171005452C *         
57984.036  1.507 UVOT        Swift       U       20.79  0.50  0.00 2017arXiv171005437E *         
57984.036  1.507 UVOT        Swift       W2    > 21.66        0.00 2017arXiv171005437E *         
57984.044  1.515 E2V4kx4kccd Swope       i       17.80  0.02  0.00 2017arXiv171005452C *         
57984.046  1.517 EFOSC2      NTT         V       18.25  0.06  0.00 2017arXiv171005443D *         
